Order,Suborder,Family,Subfamily,Tribe 1,Tribe 2,BI-ABR-FAM,BI-ABR-SFAM,BIOINFORMATICS-GENUS,BIOINFORMATICS-SPECIES,BIOINFORMATICS-BINOMIAL,BIOINFORMATICS-LABEL,BIOINFORMATICS-CN,BIOINFORMATICS-ECOLOGY-DIET,BIOINFORMATICS-ECOLOGY-HABITAT,BIOINFORMATICS-COUNTRY,BIOINFORMATICS-LATITUDE,BIOINFORMATICS-LONGITUDE,catalog,binomial,Type Status,Region Scanned,Resolution (mm),Data Source,Head Fully Segmented,Jaws Segmented,Opercle Segmented,Cleithrum,File Size (GB),SL (mm),Data Ownership,Notes
Anabantiformes,,Anabantidae,,,,,,,,,,,,,,,,AMNH 230199,Sandelia capensis,non-type,whole,0.03396,AMNH-MIF,NA,NA,NA,,2.090,,N.K. Lujan,2 specimens in scan
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,LBP 32109,Hyphessobrycon delimai,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,MZUSP 120011,Hyphessobrycon krenakore,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,MZUSP 117580,Hyphessobrycon nsp boitata,PARATYPE,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,MZUSP 100667,Hyphessobrycon nsp sanbenedito,PARATYPE,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,MZUSP 115333,Hyphessobrycon pinnistriatus,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,LBP 33043,Hyphessobrycon platyodus,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Hyphessobryconinae,,,,,,,,,,,,,,,LBP 32962,Hyphessobrycon pulchripinnis,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Megalamphodinae,,,,,,,,,,,,,,,LBP 34422,Hemigrammus stictus,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Megalamphodinae,,,,,,,,,,,,,,,LBP 32221,Makunaima multidens,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Megalamphodinae,,,,,,,,,,,,,,,LBP 35647,Makunaima pittieri,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Pristellinae,,,,,,,,,,,,,,,UW 16088,Gymnocorymbus ternetzi,non-type,whole,0.02416,Morphosource,no,no,no,,0.577,,,
Characiformes,,Acestrorhamphidae,Pristellinae,,,,,,,,,,,,,,,UF 37016,Gymnocorymbus thayeri,non-type,whole,0.05315,Morphosource,no,no,no,,0.706,,,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 83850,Astyanax nsp 'stripetail',PARATYPE,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 95024,Astyanax nsp 'stripetail',PARATYPE,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 89874,Astyanax. sp. 'Kuribrong',non-type,whole,0.01388,Mahler SkyScan,no,no,no,,4.120,,N.K. Lujan,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,LBP 6827,Deuterodon iguape,non-type,whole,,Mahler SkyScan,no,no,no,,,,,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 61441,Deuterodon potaroensis,non-type,whole,0.01352,Mahler SkyScan,no,no,no,,7.390,,N.K. Lujan,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,UF 98900,Deuterodon potaroensis,non-type,whole,0.01210,Mahler SkyScan,no,no,no,,3.210,,N.K. Lujan,
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 91339,Hyphessobrycon eos,non-type,whole,0.00676,Mahler SkyScan,no,no,no,,8.110,,N.K. Lujan,female
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 91339,Hyphessobrycon eos,non-type,whole,0.00676,Mahler SkyScan,NA,NA,NA,,2.800,,N.K. Lujan,male
Characiformes,,Acestrorhamphidae,Stygichthyinae,,,,,,,,,,,,,,,ROM 91339,Hyphessobrycon eos,non-type,whole,0.00676,Mahler SkyScan,NA,NA,NA,,3.080,,N.K. Lujan,male
Characiformes,,Acestrorhamphidae,,,,,,,,,,,,,,,,ROM 83855,Guianabrycon ngen nsp,MS TYPE,whole,0.02064,Mahler SkyScan,no,no,no,,7.350,,N.K. Lujan,
Characiformes,,Acestrorhamphidae,,,,,,,,,,,,,,,,ROM 82799,Moenkhausia n.sp.,PARATYPE,whole,0.01210,Mahler SkyScan,no,no,no,,3.290,,N.K. Lujan,
Characiformes,,Acestrorhamphidae,,,,,,,,,,,,,,,,ROM 82799,Moenkhausia n.sp.,PARATYPE,whole,0.01210,Mahler SkyScan,NA,NA,NA,,2.960,,N.K. Lujan,
Characiformes,,Characidae,Tetragonopterinae,,,,,,,,,,,,,,,UF 77820,Tetragonopterus argenteus,non-type,whole,0.04844,Morphosource,NA,NA,NA,,0.978,,,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 232928,Ammocryptocharax elegans,non-type,head,0.01166,AMNH-MIF,NA,NA,NA,,0.893,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 62832,Ammocryptocharax lateralis,non-type,head,0.00849,AMNH-MIF,NA,NA,NA,,4.750,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 53978,Ammocryptocharax minutus,non-type,head,0.00270,AMNH-MIF,NA,NA,NA,,4.450,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 62833,Ammocryptocharax vintonae,non-type,head,0.01061,AMNH-MIF,NA,NA,NA,,4.310,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 62687,Characidium amaila,non-type,head,0.01206,AMNH-MIF,NA,NA,NA,,7.070,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 67146,Characidium boavistae,non-type,head,0.02846,AMNH-MIF,NA,NA,NA,,1.480,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 62898,Characidium crandellii,non-type,head,0.02456,AMNH-MIF,NA,NA,NA,,1.720,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 67142,Characidium crandellii,non-type,whole,0.06397,AMNH-MIF,NA,NA,NA,,6.190,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 67142,Characidium crandellii,non-type,head,0.04088,AMNH-MIF,NA,NA,NA,,3.420,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 233084,Characidium declivirostre,non-type,head,0.02887,AMNH-MIF,NA,NA,NA,,1.770,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 91170,Characidium declivirostre,non-type,head,0.02887,AMNH-MIF,NA,NA,NA,,0.695,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 22725,Characidium marshi,non-type,head,0.01921,AMNH-MIF,NA,NA,NA,,1.330,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,ROM 93956,Characidium purpuratum,non-type,head,0.01311,AMNH-MIF,NA,NA,NA,,1.280,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,ROM 86516,Characidium sp,non-type,head,0.01218,AMNH-MIF,NA,NA,NA,,1.480,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 67118,Characidium wangyapoik,PARATYPE,head,0.04088,AMNH-MIF,NA,NA,NA,,1.840,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 74687,Elacocharax pulcher,non-type,head,0.00341,AMNH-MIF,NA,NA,NA,,5.940,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 53002,Elacocharax sp Bolivia,non-type,head,0.00355,AMNH-MIF,NA,NA,NA,,5.440,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,ROM 93483,Leptocharacidium nsp checkerboard,non-type,head,0.01976,AMNH-MIF,NA,NA,NA,,1.490,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AMNH 233032,Leptocharacidium omospilus,non-type,head,0.01734,AMNH-MIF,NA,NA,NA,,1.390,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,ROM 91483,Melanocharacidium blennioides,non-type,head,0.01672,AMNH-MIF,NA,NA,NA,,1.180,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 43705,Melanocharacidium dispilomma,non-type,head,0.01332,AMNH-MIF,NA,NA,NA,,1.120,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 43706,Melanocharacidium melanopteron,non-type,head,0.02629,AMNH-MIF,NA,NA,NA,,2.430,,N.K. Lujan,
Characiformes,,Crenuchidae,Characidiinae,,,,,,,,,,,,,,,AUM 38198,Odontocharacidium aphanes,non-type,head,0.00414,AMNH-MIF,NA,NA,NA,,1.580,,N.K. Lujan,
Characiformes,,Crenuchidae,Crenuchinae,,,,,,,,,,,,,,,AMNH 74610,Crenuchus spilurus,non-type,head,0.00963,AMNH-MIF,NA,NA,NA,,5.080,,N.K. Lujan,
Characiformes,,Crenuchidae,Crenuchinae,,,,,,,,,,,,,,,AUM 67161,Poecilocharax bovallii,non-type,head,0.02456,AMNH-MIF,NA,NA,NA,,0.558,,N.K. Lujan,
Characiformes,,Curimatidae,,,,,,,,,,,,,,,,ROM ECU22-09,Steindachnerina dobula,non-type,whole,0.01352,Mahler SkyScan,NA,NA,NA,,10.860,,N.K. Lujan,Vandellia sp. lodged in branchial cavity
Characiformes,,Iguanodectidae,,,,,,,,,,,,,,,,ROM 83994,Bryconops magoi,non-type,whole,0.02064,Mahler SkyScan,no,no,no,,7.340,,N.K. Lujan,
Characiformes,,Iguanodectidae,,,,,,,,,,,,,,,,ROM 93356,Bryconops sp. Iwi,MS TYPE,whole,0.02064,Mahler SkyScan,no,no,no,,7.340,,N.K. Lujan,
Characiformes,,Lebiasinidae,,,,,,,,,,,,,,,,ROM 110025,Lebiasina nsp 1,MS TYPE,whole,0.02064,Mahler SkyScan,no,no,no,,8.750,,N.K. Lujan,
Characiformes,,Lebiasinidae,,,,,,,,,,,,,,,,ROM 110062,Lebiasina nsp 1,MS TYPE,whole,0.02064,Mahler SkyScan,NA,NA,NA,,8.750,,N.K. Lujan,
Characiformes,,Serrasalmidae,Serrasalminae,,,,,,,,,,,,,,,ROM ECU21-10 T28524,Pygopristis striolatus,MS Type,whole,0.03559,Mahler SkyScan,NA,NA,NA,,2.530,,N.K. Lujan,
Characiformes,,Serrasalmidae,Serrasalminae,,,,,,,,,,,,,,,ROM ECU21-10 T28526,Pygopristis striolatus,MS Type,whole,0.03559,Mahler SkyScan,NA,NA,NA,,2.730,,N.K. Lujan,
Characiformes,,Stevardiidae,,,,,,,,,,,,,,,,FMNH 56649,Bryconamericus beta,PARATYPE,whole,,Mahler SkyScan,no,no,no,,,,,
